id,host_id,host_neighbourhood,host_listings_count,host_total_listings_count,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
33992162,239782467,SoMa,7,7,South of Market,Room in hotel,Hotel room,2,,1 bath,2,1,$440.00 ,1,1125,0,4.4,t,0.17
33992583,239782467,SoMa,7,7,South of Market,Room in hotel,Hotel room,4,,1 bath,1,2,$355.00 ,1,1125,0,4.1,t,0.31
33992760,239782467,SoMa,7,7,South of Market,Room in hotel,Hotel room,4,,1 bath,1,2,$350.00 ,1,1125,0,4.25,t,0.49
33999573,957067,,0,0,Outer Sunset,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$166.00 ,2,15,63,4.87,t,5.21
34004538,256760039,SoMa,2,2,South of Market,Private room in residential home,Private room,1,,1 shared bath,1,1,$38.00 ,30,1125,2,5,f,0.13
34018349,41094308,,1,1,Potrero Hill,Entire residential home,Entire home/apt,8,,1.5 baths,3,3,$450.00 ,3,60,13,4.89,f,1.09
34020025,3480526,Excelsior,1,1,Excelsior,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$125.00 ,2,7,0,4.95,f,0.65
34020893,219405975,Tenderloin,1,1,Downtown/Civic Center,Entire condominium (condo),Entire home/apt,1,,1 bath,,1,$38.00 ,90,105,0,5,f,0.03
34024828,136792470,Nob Hill,2,2,Nob Hill,Private room in residential home,Private room,2,,1 shared bath,1,1,$165.00 ,1,27,0,4.91,f,0.7
34123156,46519368,Nob Hill,11,11,Russian Hill,Private room in condominium (condo),Private room,1,,1 private bath,1,1,$59.00 ,30,1125,1,5,f,0.13
34127900,5153588,Bayview,3,3,Bayview,Entire residential home,Entire home/apt,2,,1 bath,1,1,$84.00 ,30,1125,2,5,f,0.24
34127928,257691852,Mission District,0,0,Mission,Entire rental unit,Entire home/apt,4,,1.5 baths,2,3,$395.00 ,5,14,5,5,f,0.3
34129571,232380548,Crocker Amazon,1,1,Crocker Amazon,Entire rental unit,Entire home/apt,5,,1 bath,2,3,$99.00 ,30,1125,0,4.75,f,0.13
34144769,2097286,,1,1,West of Twin Peaks,Private room in residential home,Private room,2,,1 private bath,1,1,$120.00 ,30,1125,0,5,f,0.03
34176402,102360316,Marina,1,1,Marina,Entire residential home,Entire home/apt,6,,2 baths,3,4,$750.00 ,30,1125,0,,f,
34181603,252638587,Cow Hollow,2,2,Marina,Entire condominium (condo),Entire home/apt,2,,1 bath,2,2,$180.00 ,30,1125,1,5,f,0.09
34189531,107434423,Cambridge,2433,2433,Nob Hill,Entire rental unit,Entire home/apt,2,,1 bath,,1,$234.00 ,30,1125,0,,t,
34205792,256760039,SoMa,2,2,South of Market,Private room in residential home,Private room,1,,1 shared bath,1,1,$40.00 ,30,1125,5,4.78,f,0.31
34206236,4430421,Noe Valley,92,92,Mission,Entire rental unit,Entire home/apt,2,,1 bath,,1,$89.00 ,30,150,0,,f,
34208181,45822891,Bayview,5,5,Bayview,Private room in residential home,Private room,2,,1 shared bath,1,1,$56.00 ,1,1125,8,4.21,t,2.02
34228117,108086582,Sunnyside,1,1,West of Twin Peaks,Entire guest suite,Entire home/apt,5,,1 bath,1,3,$140.00 ,3,30,4,4.95,f,1.18
34246050,202999813,Western Addition/NOPA,1,1,Haight Ashbury,Entire residential home,Entire home/apt,6,,1.5 baths,3,4,$341.00 ,3,28,0,4.86,t,0.22
34247471,5391821,Mission Terrace,0,0,Outer Mission,Entire guest suite,Entire home/apt,6,,1 bath,2,2,$248.00 ,3,21,26,4.93,t,2.11
34253243,10441135,Noe Valley,3,3,Noe Valley,Entire condominium (condo),Entire home/apt,5,,1.5 baths,3,3,$520.00 ,3,1125,0,4.78,f,0.31
34255371,228792190,Bayview,1,1,Bayview,Private room in residential home,Private room,2,,1 shared bath,1,1,$33.00 ,30,1125,0,5,f,0.1
34283628,4715188,SoMa,1,1,South of Market,Entire condominium (condo),Entire home/apt,2,,1 bath,1,1,$170.00 ,30,1125,0,,t,
34287664,796838,Mission District,1,1,Mission,Private room in condominium (condo),Private room,2,,1 private bath,1,1,$232.00 ,1,10,0,5,t,0.11
34287875,9194713,Visitacion Valley,6,6,Visitacion Valley,Private room in residential home,Private room,2,,1 shared bath,1,1,$68.00 ,1,3,0,5,t,1.26
34289989,258893252,Visitacion Valley,1,1,Visitacion Valley,Entire residential home,Entire home/apt,3,,1 bath,1,1,$220.00 ,30,1125,0,4,t,0.04
34308960,164971898,Anaheim,44,44,Downtown/Civic Center,Room in hotel,Private room,2,,1 private bath,,1,$139.00 ,2,45,0,,f,
34313204,259043015,Pacific Heights,0,0,Nob Hill,Entire condominium (condo),Entire home/apt,7,,2 baths,3,4,"$1,124.00 ",2,1125,1,5,t,0.25
34314659,694377,Nob Hill,14,14,Nob Hill,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$120.00 ,30,365,3,4,t,0.28
34314752,694309,Nob Hill,2,2,Chinatown,Entire rental unit,Entire home/apt,3,,1 bath,1,2,$99.00 ,30,365,0,5,f,0.04
34316297,1892430,Telegraph Hill,32,32,Haight Ashbury,Entire rental unit,Entire home/apt,3,,1.5 baths,1,2,$125.00 ,30,1125,0,,t,
34339911,2374809,Outer Sunset,5,5,Outer Sunset,Entire residential home,Entire home/apt,10,,3.5 baths,5,7,"$1,764.00 ",5,30,2,5,f,0.24
34343963,259291046,Financial District,1,1,Financial District,Entire condominium (condo),Entire home/apt,4,,2 baths,2,2,$249.00 ,30,1125,3,5,t,0.26
34369013,4430421,Noe Valley,92,92,Mission,Entire rental unit,Entire home/apt,2,,1 bath,,1,$93.00 ,30,150,3,5,f,0.15
34369451,111662311,Parkside,0,0,Outer Sunset,Entire residential home,Entire home/apt,4,,1 bath,1,3,$138.00 ,1,28,114,4.89,t,8.17
34383907,2788584,Outer Sunset,3,3,Outer Sunset,Entire residential home,Entire home/apt,5,,1 bath,2,2,$206.00 ,2,7,0,4.92,f,0.43
34397208,26860,Arts District,15,15,Downtown/Civic Center,Shared room in residential home,Shared room,2,,2 shared baths,1,10,$55.00 ,30,1125,0,,t,
34412659,3235712,Outer Sunset,1,1,Outer Sunset,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$63.00 ,30,135,4,4.88,t,0.26
34423592,225791151,SoMa,2,2,South of Market,Private room in condominium (condo),Private room,1,,1 private bath,1,1,$53.00 ,30,1125,2,4.55,f,0.38
34446936,3096994,,2,2,Potrero Hill,Entire residential home,Entire home/apt,8,,3.5 baths,5,5,$556.00 ,3,42,4,5,f,0.24
34450438,103593017,Mission District,1,1,Mission,Entire rental unit,Entire home/apt,5,,1.5 baths,3,3,$115.00 ,30,90,3,4.88,f,0.26
34470646,27975146,,2,2,Western Addition,Entire condominium (condo),Entire home/apt,6,,1 bath,2,3,$379.00 ,2,365,44,4.8,t,3.28
34514224,260499835,Parkside,1,1,Parkside,Entire guest suite,Entire home/apt,2,,1 bath,1,1,$145.00 ,2,1125,0,5,f,0.68
34534317,205414,Cow Hollow,5,5,Marina,Entire condominium (condo),Entire home/apt,2,,1 bath,,2,$165.00 ,30,122,0,,f,
34536867,246663575,Fisherman's Wharf,5,5,North Beach,Room in boutique hotel,Private room,4,,1 private bath,1,2,"$1,499.00 ",5,6,0,,f,
34545696,246663575,Fisherman's Wharf,5,5,North Beach,Room in boutique hotel,Private room,4,,1 shared bath,1,2,"$1,499.00 ",5,6,0,,f,
34597769,42786654,The Castro,2,2,Noe Valley,Entire condominium (condo),Entire home/apt,2,,1 bath,1,1,$125.00 ,30,1125,3,5,f,0.42
34601482,261024482,,1,1,Outer Mission,Private room in residential home,Private room,1,,1 shared bath,1,1,$950.00 ,30,1125,0,,f,
34602962,8663067,Portola,1,1,Excelsior,Entire residential home,Entire home/apt,7,,3 baths,4,5,$180.00 ,30,31,0,,f,
34606745,1368144,Oceanview,6,6,Ocean View,Private room in residential home,Private room,2,,1 private bath,1,1,$119.00 ,1,7,26,4.89,f,2.03
34607614,1368144,Oceanview,6,6,Ocean View,Private room in residential home,Private room,2,,1 private bath,1,1,$79.00 ,1,7,6,4.85,f,1.28
34626588,178494555,Bernal Heights,1,1,Bernal Heights,Entire residential home,Entire home/apt,7,,3 baths,4,4,$350.00 ,4,1125,3,5,f,0.2
34641118,2675261,Mission Terrace,1,1,Outer Mission,Entire residential home,Entire home/apt,3,,1 bath,2,1,$100.00 ,90,120,0,,t,
34646493,1368144,Oceanview,6,6,Ocean View,Private room in residential home,Private room,2,,1 shared bath,1,1,$79.00 ,1,7,0,4.97,f,1.03
34656053,1368144,Oceanview,6,6,Ocean View,Private room in residential home,Private room,2,,1 private bath,1,1,$79.00 ,1,7,13,4.87,f,1.47
34656516,9194713,Visitacion Valley,6,6,Visitacion Valley,Entire guest suite,Entire home/apt,4,,1 bath,2,2,$171.00 ,2,30,83,4.96,f,6.03
34680753,91333416,Eureka Valley,27,27,Haight Ashbury,Entire residential home,Entire home/apt,2,,1 bath,,1,$90.00 ,30,182,0,,t,
34680755,91333416,Eureka Valley,27,27,Haight Ashbury,Entire residential home,Entire home/apt,2,,1 bath,,1,$90.00 ,30,182,1,5,t,0.08
34680757,91333416,Eureka Valley,27,27,Haight Ashbury,Entire residential home,Entire home/apt,2,,1 bath,,1,$90.00 ,30,182,0,,t,
34680761,91333416,Eureka Valley,27,27,Haight Ashbury,Entire rental unit,Entire home/apt,4,,1 bath,2,3,$145.00 ,30,182,0,,t,
34680763,91333416,Eureka Valley,27,27,North Beach,Entire rental unit,Entire home/apt,6,,1 bath,4,4,$155.00 ,30,182,0,,t,
34680766,91333416,Eureka Valley,27,27,North Beach,Entire rental unit,Entire home/apt,4,,2 baths,2,3,$385.00 ,30,182,0,,t,
34680770,91333416,Eureka Valley,27,27,Inner Sunset,Entire residential home,Entire home/apt,2,,1 bath,1,1,$83.00 ,30,182,0,,t,
34684071,6064418,Outer Sunset,2,2,Parkside,Entire guest suite,Entire home/apt,3,,1 bath,1,2,$125.00 ,1,28,77,4.95,f,8.05
34693459,38209715,Bernal Heights,3,3,Bernal Heights,Private room in residential home,Private room,3,,2 shared baths,1,2,$96.00 ,2,5,0,4.9,f,1.28
34697298,241073168,Japantown,2,2,Pacific Heights,Private room in residential home,Private room,1,,1 private bath,1,1,$144.00 ,2,30,13,4.93,f,0.98
34704352,107434423,Cambridge,2433,2433,South of Market,Entire rental unit,Entire home/apt,2,,1 bath,1,1,$236.00 ,30,1125,0,,t,
34723923,32753225,Twin Peaks,0,0,Twin Peaks,Entire guest suite,Entire home/apt,4,,1 bath,2,2,$185.00 ,2,15,0,4.9,f,0.67
34781352,9194713,Visitacion Valley,6,6,Visitacion Valley,Private room in residential home,Private room,2,,1 shared bath,1,1,$58.00 ,1,28,0,5,t,0.84
34785290,103884979,SoMa,11,11,South of Market,Room in boutique hotel,Hotel room,2,,4 shared baths,1,1,$82.00 ,3,30,44,4.45,t,1.8
34789865,30474972,Haight-Ashbury,3,3,Haight Ashbury,Private room in residential home,Private room,2,,1.5 baths,1,1,$220.00 ,2,4,0,5,f,0.04
34791677,96864569,Pacific Heights,1,1,Pacific Heights,Entire condominium (condo),Entire home/apt,5,,1 bath,2,3,$220.00 ,1,100,1,5,f,0.16
34791904,26860,Arts District,15,15,Downtown/Civic Center,Shared room in residential home,Shared room,1,,2.5 shared baths,1,10,$50.00 ,30,1125,0,,t,
34803248,107434423,Cambridge,2433,2433,Marina,Entire rental unit,Entire home/apt,4,,1 bath,2,2,$261.00 ,30,1125,0,,t,
34836860,202404209,,3,3,Outer Mission,Private room in residential home,Private room,4,,1 private bath,2,2,$89.00 ,1,1125,3,4.64,f,0.73
34840354,262656613,Excelsior,0,0,Excelsior,Entire residential home,Entire home/apt,6,,2 baths,,3,$399.00 ,30,120,0,,t,
34845930,16686660,Pacific Heights,1,1,Pacific Heights,Private room in rental unit,Private room,2,,1 bath,1,1,$150.00 ,30,60,0,0,f,0.03
